second,Volt
-1.99E-03,0.00E+00
-1.99E-03,4.02E-02
-1.99E-03,4.02E-02
-1.98E-03,4.02E-02
-1.98E-03,8.04E-02
-1.98E-03,1.21E-01
-1.98E-03,1.21E-01
-1.97E-03,1.21E-01
-1.97E-03,1.21E-01
-1.97E-03,1.61E-01
-1.96E-03,1.61E-01
-1.96E-03,2.01E-01
-1.96E-03,2.01E-01
-1.96E-03,2.01E-01
-1.95E-03,2.41E-01
-1.95E-03,2.41E-01
-1.95E-03,2.81E-01
-1.95E-03,2.81E-01
-1.94E-03,2.81E-01
-1.94E-03,3.22E-01
-1.94E-03,3.22E-01
-1.94E-03,3.62E-01
-1.93E-03,3.62E-01
-1.93E-03,3.62E-01
-1.93E-03,4.02E-01
-1.93E-03,4.02E-01
-1.92E-03,4.42E-01
-1.92E-03,4.42E-01
-1.92E-03,4.42E-01
-1.92E-03,4.82E-01
-1.91E-03,4.82E-01
-1.91E-03,4.82E-01
-1.91E-03,5.23E-01
-1.91E-03,5.23E-01
-1.90E-03,5.23E-01
-1.90E-03,5.63E-01
-1.90E-03,5.63E-01
-1.90E-03,5.63E-01
-1.89E-03,5.63E-01
-1.89E-03,6.03E-01
-1.89E-03,6.03E-01
-1.89E-03,6.43E-01
-1.88E-03,6.43E-01
-1.88E-03,6.43E-01
-1.88E-03,6.43E-01
-1.88E-03,6.43E-01
-1.87E-03,6.83E-01
-1.87E-03,6.83E-01
-1.87E-03,7.24E-01
-1.87E-03,7.24E-01
-1.86E-03,7.24E-01
-1.86E-03,7.24E-01
-1.86E-03,7.24E-01
-1.85E-03,7.64E-01
-1.85E-03,7.64E-01
-1.85E-03,7.64E-01
-1.85E-03,8.04E-01
-1.84E-03,8.04E-01
-1.84E-03,8.04E-01
-1.84E-03,8.04E-01
-1.84E-03,8.04E-01
-1.83E-03,8.44E-01
-1.83E-03,8.44E-01
-1.83E-03,8.44E-01
-1.83E-03,8.44E-01
-1.82E-03,8.44E-01
-1.82E-03,8.44E-01
-1.82E-03,8.84E-01
